시장명,구분,주소,전화,취급품목,이용시간,휴무,주차시설,기본설명,팝업창 기본설명
무등시장,남구,광주 남구 군분로 27,062-652-5549,"순대국, 돈가스박스, 국밥골목 등 다양한 먹거리",08:00 ~ 20:00,없음,"49면/공영(30분 300원, 1시간 무료도장)","1978년 주월동에 위치 아파트상가건물에서 하는 작고 초라한곳에서 개설되었지만 이후 점점 발전하여가게 판매되었다. 주변인근에는 상림과 평화맨션아파트, 한전옆에 위치해있다, 유진맨션이, 광명맨션이 근처 있다.","1978년 주월동에 위치 아파트상가건물에서 하는 작고 초라한곳에서 개설되었지만 이후 점점 발전하여가게 판매되었다. 주변인근에는 상림과 평화맨션아파트, 한전옆에 위치해있다, 유진맨션이, 광명맨션이 근처 있다."
봉선시장,남구,광주 남구 봉선1로 47번길 7,062-651-4808,"수제오란다과자, 아로마향수, 족발보쌈 등 먹거리",07:00 ~ 22:00,둘째주 일요일,"45면/공영(1시간 600원, 상점시 1시간 무료지원)","봉선시장은 2009년에 설립된 전통형 인근의 단독주택문화가 형성된 상림과 봉선주택문화단지, 인접하여, 접근이 매우 용이하여 많은 이들이다.","봉선시장은 2009년에 설립된 전통형 인근의 단독주택문화가 형성된 상림과 봉선주택문화단지, 인접하여, 접근이 매우 용이하여 많은 이들이다."
말바우 시장,북구,광주광역시 북구 동문대로 23,062-262-5730,"김치반찬, 홍어초무침",08:00 ~ 20:00,없음,14면/공영,1986년 북구 우산동 우산로 아파트단 주변에서 상인들이 점포를 열면서 형성되었다. 시내와 매우 가깝고 주위에는 서민들 친밀한 농산물등 점포를 운영하고 있다.,1986년 북구 우산동 우산로 아파트단 주변에서 상인들이 점포를 열면서 형성되었다. 시내와 매우 가깝고 주위에는 서민들 친밀한 농산물등 점포를 운영하고 있다.
운암 시장,북구,광주광역시 북구 황계로 87,062-527-1719,"농산물, 반찬가게 도소매",08:00 ~ 20:00,없음,13면/아파트상가,"입구에 운암동 아파트 단지에 위치해 있고, 인근 아파트 상가로 쏙 들어 있어서 점포, 야채, 식육 있는 골목이 잘 가꾸어져 다소 위치해 있어 편하게 잘 찾을 수 있다.","입구에 운암동 아파트 단지에 위치해 있고, 인근 아파트 상가로 쏙 들어 있어서 점포, 야채, 식육 있는 골목이 잘 가꾸어져 다소 위치해 있어 편하게 잘 찾을 수 있다."
두암타운시장,북구,광주 북구 삼정로81번길 27,062-262-4082,"야채, 참기름, 들기름, 식육, 반찬가게, 떡가게",08:00 ~ 20:00,없음,"126면/공영(30분 400원, 상점시 50%할인)","두암타운 주위에 근방에 산이 아래에 잘 막고 있어서 바람 겨울 두암동 모퉁이라는 지역에 큰 두암마을이라서 뒷골 양쪽 등산로가 해서 두암이 이름이고, 인접한 골목이 형성되면서 두암타운시장이라는 자연적으로 불리어지게 되었다.
점포는 주로 2, 4, 7, 9일에 장이 열며 반찬가게, 식육,건어물,화장품 등 인근 주부들이 주로 장보러 농수산물 파는걸 사서 저녁에 해먹 장보는 사람을 위한 시장이다.","두암타운 주위에 근방에 산이 아래에 잘 막고 있어서 바람 겨울 두암동 모퉁이라는 지역에 큰 두암마을이라서 뒷골 양쪽 등산로가 해서 두암이 이름이고, 인접한 골목이 형성되면서 두암타운시장이라는 자연적으로 불리어지게 되었다.
점포는 주로 2, 4, 7, 9일에 장이 열며 반찬가게, 식육,건어물,화장품 등 인근 주부들이 주로 장보러 농수산물 파는걸 사서 저녁에 해먹 장보는 사람을 위한 시장이다."
일곡 시장,북구,광주광역시 북구 일곡택지9번길 39,062-264-3430,"1,000원 야채",08:00 ~ 20:00,없음,15면/공영,"일동중학교 북문에서 시작해 5개 골목에 위치한 시장로, 일곡동 단독주택단지 골목길 상가들이 위치한 소규모 다소생활 시장이다.","일동중학교 북문에서 시작해 5개 골목에 위치한 시장로, 일곡동 단독주택단지 골목길 상가들이 위치한 소규모 다소생활 시장이다."
비아5일시장,광산구,광주광역시 광산구 비아로29번길 64,***-****-****(상인회),참기름,07:00 ~ 19:00,매월장 날제외(3/8/13/18/23/28 장날),"213면/공영(15분당 200원, 시장이용시 50% 할인)","광주 외곽 목포로 이어지는 길목을 하는 교통지인 1920년대쯤부터 상업단지가 틀을 잡고 규모가 큰 오일장이 개설되어 있다. 매월5일장이 열리는 광주로 중심에 자리잡고 있으며, 농수산물시장도 근처에 있다.","광주 외곽 목포로 이어지는 길목을 하는 교통지인 1920년대쯤부터 상업단지가 틀을 잡고 규모가 큰 오일장이 개설되어 있다. 매월5일장이 열리는 광주로 중심에 자리잡고 있으며, 농수산물시장도 근처에 있다."
송정5일시장,광산구,광주 광산구 광산로30번길 65,062-944-1026,"국밥, 새끼",아침~저녁,"3, 8, 13, 18, 23, 28일 장날","168면/공영(30분 400원, 시장이용객 50%할인)","전라도 서남해안의 중심인 5일장으로, 매달 3일과 8일에 장이 열림. 1913년 송정역이 생기면서 점포 와 물건이 모여서 큰 상가가 곳곳에 점차로 형성되 되었다고 한다.","전라도 서남해안의 중심인 5일장으로, 매달 3일과 8일에 장이 열림. 1913년 송정역이 생기면서 점포 와 물건이 모여서 큰 상가가 곳곳에 점차로 형성되 되었다고 한다."
우산5일시장,광산구,광주 광산구 우산시장안길26-1,***-****-****(상인회),"야채가게, 식육, 새끼",07:00 ~ 19:00,"1, 6, 11, 16, 21, 26일 장날",53면/공영,"우산5일장은 1964년에 설립된 재래시장 1일과 6일에 장이 서는 곳임. 주로 주부들이 반찬과 식재료를 조달하는 상가 소규모로 야채, 생선, 식육, 잡화, 새끼, 화장품 상가들이 위치해 열린 작고 아담한 골목상가 시장이다.","우산5일장은 1964년에 설립된 재래시장 1일과 6일에 장이 서는 곳임. 주로 주부들이 반찬과 식재료를 조달하는 상가 소규모로 야채, 생선, 식육, 잡화, 새끼, 화장품 상가들이 위치해 열린 작고 아담한 골목상가 시장이다."
1913 송정역시장,광산구,광주 광산구 송정로8번길 13,062-941-6605,"홍삼, 양갱, 마카롱, 계란밥, 수제맥주집, 삼겹살 등","월 목요일 오전11시 ~ 오후10시
금 토,일 공휴일 오전11시 ~ 오후11시
※ 점포별영업 시간다름",둘째주넷째주 월요일,"38면/공영(30분 400원, 50%할인권)","1913년에 처음 ‘매일송정역전시장’이 시작됐다. 103년의 역사를 강조하기 위해서 이름을 1913송정역시장으로 바꿨다.
이 골목을 지키고 있는 36개의 상점의 간판 글씨, 가게 형태, 가게 색상 중 하나는 남겨두어야 하는 원칙이 바닥에는 건물연도가 적혀져 있다.
1913송정역시장 역 앞 길에 늘어선 식당에 케리어보관함도 볼 수 있다.","1913년에 처음 ‘매일송정역전시장’이 시작됐다. 103년의 역사를 강조하기 위해서 이름을 1913송정역시장으로 바꿨다.
이 골목을 지키고 있는 36개의 상점의 간판 글씨, 가게 형태, 가게 색상 중 하나는 남겨두어야 하는 원칙이 바닥에는 건물연도가 적혀져 있다.
1913송정역시장 역 앞 길에 늘어선 식당에 케리어보관함도 볼 수 있다."
월곡시장,광산구,광주 광산구 사암로 300,062-961-6114,수산물,06:00 ~ 22:00,첫째주셋째주 일요일,88면/공영(1시간 이상 주차 15분 200원),"하남에 있는 유일한 재래시장(전통시장)임으로 동네의 옛칭이름 다달이 만월이 뜬다하여 ""다달이"" ""달나비""등으로 불리어지며 역 중심에 아파트단지에 자리하고 있다.","하남에 있는 유일한 재래시장(전통시장)임으로 동네의 옛칭이름 다달이 만월이 뜬다하여 ""다달이"" ""달나비""등으로 불리어지며 역 중심에 아파트단지에 자리하고 있다."
송정매일시장,광산구,광주 광산구 광산로231번길 29-17,***-****-****(상인회),야채청,08:00 ~ 22:00,셋째주 일요일(상가별 다름),공영,"1986년 송정역주변 전통시장 점포를 시작하면서 주변에 송정로 시장과 위치해 이름이 50년 넘게 상점을 운영하고 있다. 주로 농산물, 수산물, 야채청 점포가 주를이루어 판매한다.","1986년 송정역주변 전통시장 점포를 시작하면서 주변에 송정로 시장과 위치해 이름이 50년 넘게 상점을 운영하고 있다. 주로 농산물, 수산물, 야채청 점포가 주를이루어 판매한다."
